Toxicity	https://dl.acm.org/doi/full/10.1145/3580494	Handling Bias in Toxic Speech Detection: A Survey
Toxicity	https://www.sciencedirect.com/science/article/abs/pii/S0925231221018087	Defining and detecting toxicity on social media: context and knowledge are key
Moderation	https://journals.sagepub.com/doi/full/10.1177/2053951720943234	Content moderation, AI, and the question of scale
Moderation	https://www.theatlantic.com/newsletters/archive/2022/05/do-twitter-users-want-content-moderation/629725/	What Do Twitter’s Users Actually Want?
Adversarial inputs	https://www.ncsc.gov.uk/paper/understanding-adversarial-attacks-against-machine-learning-and-ai	Understanding adversarial attacks against Machine Learning and AI
Filtering	https://arxiv.org/abs/2505.02009	Towards Safer Pretraining: Analyzing and Filtering Harmful Content in Webscale datasets for Responsible LLMs
Security	https://dl.acm.org/doi/full/10.1145/3487890	Artificial Intelligence Security: Threats and Countermeasures
Surveillance	https://www.sciencedirect.com/science/article/pii/S0160791X22002780	AI-powered public surveillance systems: why we (might) need them and how we want them
Manipulation	https://deepmind.google/blog/protecting-people-from-harmful-manipulation/	Protecting people from harmful manipulation
Misuse	https://arxiv.org/abs/2404.10552	Unveiling the Misuse Potential of Base Large Language Models via In-Context Learning
Abuse	https://ieeexplore.ieee.org/document/9831441	Artificial Intelligence Crime: An Overview of Malicious Use and Abuse of AI
Generalization	https://www.nature.com/articles/s41746-024-01127-3	Generalization—a key challenge for responsible AI in patient-facing clinical applications
Calibration	https://aclanthology.org/2024.naacl-long.366/	A Survey of Confidence Estimation and Calibration in Large Language Models
Uncertainty	https://proceedings.neurips.cc/paper_files/paper/2024/hash/1bdcb065d40203a00bd39831153338bb-Abstract-Datasets_and_Benchmarks_Track.html	Benchmarking LLMs via Uncertainty Quantification
Uncertainty	https://www.ibm.com/think/topics/uncertainty-quantification	What is uncertainty quantification in machine learning?
Benchmark	https://arxiv.org/abs/2009.03300	Measuring Massive Multitask Language Understanding
Benchmark	https://aclanthology.org/2023.findings-emnlp.722/	NLP Evaluation in trouble: On the Need to Measure LLM Data Contamination for each Benchmark
Evaluation	https://arxiv.org/abs/2412.01020	AI Benchmarks and Datasets for LLM Evaluation
Hallucination	https://edition.cnn.com/2024/02/22/tech/google-gemini-ai-image-generator	Google halts AI tool’s ability to produce images of people after backlash
Red Teaming	https://aclanthology.org/2022.emnlp-main.225/	Red Teaming Language Models with Language Models
Red Teaming	https://www.ibm.com/think/topics/red-teaming	What is red teaming?
Monitoring	https://arxiv.org/abs/2605.16198	Formal Methods Meet LLMs: Auditing, Monitoring, and Intervention for Compliance of Advanced AI Systems
Feedback	https://dl.acm.org/doi/full/10.1145/3743127	RLHF Deciphered: A Critical Analysis of Reinforcement Learning from Human Feedback for LLMs
Human in the Loop	https://www.ibm.com/think/topics/human-in-the-loop	What is human-in-the-loop?
Tradeoffs	https://ieeexplore.ieee.org/abstract/document/8258006	Quality-efficiency trade-offs in machine learning for text processing
Standardization	https://aclanthology.org/2022.findings-emnlp.202/	Is NLP Ready for Standardization?
Interoperability	https://link.springer.com/chapter/10.1007/978-3-642-28249-2_16	Interoperability of Corpora and Annotations
Inference	https://www.ibm.com/think/topics/ai-inference	AI inference, simplified and explained
Inclusivity	https://aclanthology.org/2020.acl-main.560/	The State and Fate of Linguistic Diversity and Inclusion in the NLP World
Inclusivity	https://aclanthology.org/P19-1163/	The Risk of Racial Bias in Hate Speech Detection
Accessibility	https://dl.acm.org/doi/fullHtml/10.1145/3356727	Viewpoint: AI and accessibility
Profiling	https://www.nrc.nl/nieuws/2026/04/03/studenten-krijgen-compensatie-na-discriminerende-duo-controles-a4924685	Studenten krijgen compensatie na discriminerende DUO-controles
Attribution	https://link.springer.com/chapter/10.1007/978-3-031-14689-3_4	Licensing and Usage Rights of Language Data in Machine Translation
Misinformation	https://www.theguardian.com/technology/2026/may/20/ai-chatbots-chatgpt-replika-grok-gemini-misinformation-scottish-election-demos	ChatGPT and other AI bots made huge errors before Scottish election, study finds
Disinformation	https://www.theguardian.com/technology/2026/jan/22/experts-warn-of-threat-to-democracy-by-ai-bot-swarms-infesting-social-media	Experts warn of threat to democracy from ‘AI bot swarms’ infesting social media
